n,r,m
DSGE models,provide,growth to exchange rate ratio estimates
DSGE models,encompass,rich feedback interactions within an economy
DSGE models,encompass,monetary policy responses
DSGE models,links,consumption
DSGE models,explicitly model,price stickiness
DSGE models,explicitly model,import content
DSGE models,explicitly model,effects of the distribution sector
DSGE models,explicitly model,switching from domestic goods to foreign goods
DSGE models,conditioning through,policy shocks
dynamics of prices,is influenced by,structural factors
dynamics of prices,is influenced by,type of shock
dynamics of prices,is influenced by,countrys openness
dynamics of prices,is influenced by,currency of invoicing imports
small very open country,reacts to,foreign shocks
country with imports invoiced in euro,has,ERPT
shock dependency of the ERPT,is abstracted from,the article
the article,discusses,three main channels of inflations impact
the article,provides assessment of,heterogenous impact of inflation
the article,has focus,main focus
the article,uses data,data
non standard measures,includes,exchange rate floors
non standard measures,contributed to improving,access to finance
non standard measures,used to improve,access to finance
non standard measures,vary across,countries
non standard measures,review impact on,impact
first definition of ERPT,refers to,response of prices
first definition of ERPT,different from,shock dependence
response of prices,in,reduced form pricing equation
response of prices,response to,type of shock
response of prices,response to,changes in the exchange rate
second definition of ERPT,refers to,response of prices relative to the exchange rate
second definition of ERPT,requires for estimation,structural model with feedback effects
response of prices relative to the exchange rate,after,shock
response of prices relative to the exchange rate,response relative to,changes in the exchange rate
structural model with feedback effects,includes,SVAR
structural model with feedback effects,includes,DSGE models
ESCB expert group,introduced,PERR
co movement of prices and exchange rates,reflects,PERR
co movement of prices and exchange rates,because of,underlying economic shock
shock dependence,analyzes,response of prices relative to the exchange rate
nominal rigidities,accumulate across,production process
other wedges,accumulate across,production process
ERPT to import prices of the euro area,remained stable,the past two decades
ERPT to import prices of the euro area,declined,the end of the 1990s
ERPT to consumer prices,was very low,the end of the 1990s
scarce literature on the ERPT for the euro area,is less than,our estimates
nominal effective exchange rate to extra euro area import prices,declined from,0 point 8percent
nominal effective exchange rate to extra euro area import prices,to around,0 point 3percent
nominal effective exchange rate to extra euro area import prices,remained unchanged after,2008
1999,to,2019
1999,starts time frame of,European institutions
euro area consumer prices,not statistically significant in,this model
industries,includes,auto and auto parts industries
industries,includes,technology equipment industries
industries,R characteristic of,countries
industries,increase in e9,food services
structure of the economy,R factor,inflation
structure of the economy,R factor,exchange rate
microeconomic structure,R factor,inflation
microeconomic structure,R factor,exchange rate
behaviour of firms,R factor,inflation
behaviour of firms,R factor,exchange rate
import penetration,R implication in,ERPT
import penetration,R structural characteristic of,countries
import penetration,R structural characteristic of,industries
integration in global value chains,R implication in,ERPT
integration in global value chains,determines size of,ERPT
integration in global value chains,R structural characteristic of,countries
integration in global value chains,R structural characteristic of,industries
currency of trade invoicing,R implication in,ERPT
currency of trade invoicing,R structural characteristic of,countries
currency of trade invoicing,R structural characteristic of,industries
section,focuses on,April to September 2019
openness to imports,increases impact,exchange rate
cross border trade flows,boosted by,Trade liberalisation
cross border trade flows,boosted by,lower trade costs
cross border trade flows,boosted by,technological advances
Openness,measured by,external trade
external trade,part of,GDP
euro area EU economies,varies from,non euro area EU economies
smaller countries,associated with,trade
countries that export to the euro area,export to,euro area
countries that export to the euro area,source inputs from,euro area
euro exchange rate,type of,appreciation
euro exchange rate,appreciation in,autumn 2022
euro exchange rate,partial cause for the fall of,annual growth rate of import prices for intermediate goods
counterbalancing effects,acts on,input costs side
euro area import prices,Rise leads to,Consumer prices
invoicing decision,allows,producers
exporting firm,known as,producer currency pricing
exporting firms own currency,affects,sensitivity to costs
exporting firms own currency,reduces sensitivity to,importers conditions
dominant currency pricing,makes prices,prices sensitivity
prices sensitivity,more sensitive to,dominant currency
prices sensitivity,less sensitive to,bilateral exchange rate
currency to invoice in,affects,ERPT in the near to medium term
empirical models,not capturing,long run
PERR responses,show a somewhat different path,SVAR models
PERR responses,obtained using,structural VAR models
PERR responses,show similar responses at impact to,DSGE models
rich feedback interactions within an economy,captured less explicitly in,SVAR models
responses at impact,similar for,SVAR models
responses at impact,similar for,DSGE models
responses at impact,follow a different path in,SVAR models
four alternative SVAR models,for,euro area
four alternative SVAR models,reveal different outcomes in terms of,historical contributions
four alternative SVAR models,reveal outcomes in terms of,response of prices
historical contributions,contributions to,exchange rate changes
large uncertainty,cautions against relying on,one specific model
shock decomposition,cautions against,large uncertainty
shock decomposition,evaluation of,shocks
model evaluation,should not rely on,one specific model
this article,focus on,exchange rate
this article,focus on,prices
model based analysis,provides information on,growth
model based analysis,provides information on,exchange rate
model based analysis,is employed to understand,GDP growth
growth to exchange rate ratio estimates,show,real GDP growth
examination,is closely related to,inflation
indirect transmission channels,might trigger,price changes
indirect transmission channels,are important because,economic activity
indirect transmission channels,are important because,exchange rate
indirect transmission channels,considered important in relation to,exchange rate
indirect transmission channels,considered important in relation to,real GDP growth
inflation pressures,intensified in,many sectors
inflation pressures,increases over,projection horizon
monetary policy rate,Causes reduction in,investment
monetary policy rate,Causes reduction in,consumption
monetary policy rate,Increases slightly due to,GDP
higher monetary policy rate,Induces reduction in,investment
higher monetary policy rate,Induces reduction in,consumption
sensitivity analysis,indicates,UIP shock
sensitivity analysis,pertains to,key technical assumptions
structured factors,examined in,sensitivity analysis
wholesale border import prices,context of,structured factors
no distribution sector,context of,structured factors
no foreign intermediate inputs in domestic production,context of,structured factors
exports without import content,context of,structured factors
import price response at the border,returns to,benchmark
import price response at the border,size change without,nominal rigidities
expenditure switching effect,induced by,devaluation
imported consumption goods,doubled to maintain,import to GDP ratio
imported consumption goods,adjustment when removed,foreign intermediate inputs
effect of exchange rates,depends on,nature of the underlying shocks
unprecedented disinflationary forces,arose after,global and sovereign debt crises
negative rates,based on,market power
negative rates,started in,June 2014
negative rates,causes,deposit funding
negative rates,increases,investor demand
negative rates,react to,profitability
negative rates,impacted,risk free rates
negative rates,lowers perceived,lower bound
negative rates,leading to,uncharted territory
negative rates,exerts pressure on,term premium
negative rates,soften,expectation
negative rates,transmitted via,different channels
negative rates,incentivises,commercial banks
negative rates,contributed to reducing,cost of market based financing
negative rates,qualitatively different from,protracted periods
expectation,influences,markets
current and future short term rates,cannot be,negative rates
monetary accommodation,propagate through,yield curve
monetary accommodation,propagate via,yield curve
yield curve,translated into,macro models
investor demand,demand for,longer dated assets
commercial banks,to expand,lending
commercial banks,avoid,excess holdings of reserves
excess holdings of reserves,caused by,negative rates
excess holdings of reserves,with,central bank
transmission of NIRP,via,banks
transmission of NIRP,hindered by,bank profitability
transmission of NIRP,hindered by,cash
portfolios,towards,longer term assets
portfolios,towards,riskier assets
liquidity leakages,signs of,liquidity leakages
negative deposit rates,hamper,provision of lending
negative deposit rates,dents,bank profitability
provision of lending,provision to,real economy
provision of lending,favorable terms period,first quarter of 2020
creditworthiness of borrowers,has status of,improved
lower interest margins,impact on,overall bank profitability
lower interest margins,has been,mitigated
negative interest rate policy NIRP,contributes to,build up of debt
negative interest rate policy NIRP,improves,sustainability of outstanding debt
negative interest rate policy NIRP,has effect on,financial stability
negative interest rate policy NIRP,spurs,over pricing of financial assets
negative interest rate policy NIRP,spurs,exuberance in housing markets
over pricing of financial assets,addressed by,targeted macroprudential policies
debt build up,addressed by,targeted macroprudential policies
NIRP,lead to,decrease
NIRP,supports,bank profits
NIRP,affects,securities held by banks
NIRP,provides,funding cost relief
NIRP,associated with,negative territory
NIRP,impacts,loan growth
NIRP,part of,ECBs policy response
NIRP,accounts for,loan loss provisions
NIRP,impact on,loan growth
NIRP,impact on,non interest income
NIRP,contributed to,stock prices
NIRP,reduces,bank funding costs
NIRP,introduced by,ECB
NIRP,has impact on,net interest income
NIRP,stands for,Negative Interest Rate Policy
NIRP,assessed by,monetary policy tools
NIRP,benefits,price stability
NIRP,benefits,macroeconomic outlook
NIRP,introduced on,June 2014
NIRP,shares features,standard interest rate cut
NIRP,resulted in lower,lending rates
NIRP,resulted in lower,bank deposit rates
NIRP,yield impact through,macroeconomic models
NIRP,has impact,relatively small and short lived positive impact
NIRP,activates,non standard channels
NIRP,exerts,easing effect
NIRP,isolation method,Box 1
NIRP,induces,decrease
NIRP,impact is,negative
rates below zero,activates,additional channels
additional channels,regarding,loan growth
additional channels,results in,stimulus
additional channels,enhances,stimulus
additional channels,can dampen,transmission via banks
bank funding rates,reacted to cut in,DFR
DFR,cut in,September 2019
composite funding costs,related to,euro area banks
composite funding costs,associated with,banks with an average funding structure
composite funding costs,compressed since,2014
composite funding costs,helps to maintain,intermediation margins
deposit funding,eventually pass on,rate reduction
rate reduction,applied to,deposit base
deposit base,includes,corporate deposits
deposit base,includes,large retail deposits
downward rigidity,limits,funding costs
downward rigidity,remains despite,rate reduction
retail deposit rates,associated with,downward rigidity
funding structure,necessary for changes to,funding costs
negative policy rates,introduce,constellation of rates
negative policy rates,become a footnote in,central banking history
interest rate distribution,affect,current rates
interest rate distribution,affect,expected future rates
two tier system for reserve remuneration,allows,accommodative effects of NIRP
two tier system for reserve remuneration,mitigates pressure,bank profitability
two tier system for reserve remuneration,mitigates pressure,negative remuneration of excess liquidity holdings
new lending,towards,firms
new lending,towards,households
investment grade corporate bond yields,decreased by,120 basis points
investment grade corporate bond yields,belongs to,non financial corporations
25percent,percentage of,SMEs
NIRP induced decrease,led to,stock prices
NIRP induced decrease,led to,sovereign bond yields
NIRP induced decrease,led to,corporate bond yields
corporate bond yields,issued at,longer maturity and duration
dividend discount model,employed to dissect,drivers of stock price changes
early June 2014,time period start of,drivers of stock price changes
risk free component of the discount rate,account for half of increase in,stock prices
stimulating effect of NIRP policy measure,via,confidence effects
stimulating effect of NIRP policy measure,decreased,equity risk premium
equity valuations,compared to,pre NIRP levels
equity valuations,relative to,risk free rates
risk free component,component of,sovereign bond yields
risk free component,component of,corporate bond yields
macroeconomic conditions,leads to,intermediation volumes
macroeconomic conditions,lower,risk premia
macroeconomic conditions,lower,spreads
cost of market based financing,location,euro area
cost of market based financing,in the time period,mid 2014
corporate bank loan rates,issued at,shorter maturity
estimated cost of equity,is between,8percent and 10percent
low profits,limits,organic recapitalisation of banks
organic recapitalisation of banks,necessary for,capacity to intermediate
organic recapitalisation of banks,is through,retained earnings
capacity to intermediate,provides,credit to firms and households
market valuations of bank equities,is low compared to,non financial or other financial firms
low valuations,inhibits,tapping markets to raise capital
tapping markets to raise capital,would dilute,current shareholders
longer end of the term structure,compared to,conventional policy rate cut
longer end of the term structure,experiences,significant reduction
maturity transformation,affects,net interest margins
maturity transformation,involves,banks
maturity transformation,process of,funding
bank profits,impacted by,asset valuations
bank profits,impacted by,macroeconomy
NIRP policy,impacts,macroeconomic conditions
securities held by banks,leads to,capital gains
income on loans and securities,offset by,interest expenses
interest expenses,related to,deposits
interest expenses,related to,debt securities issued
deposits,is part of,top 10percent
deposits,is part of,next 40percent of the wealth distribution
deposits,represents,70percent
deposits,makes up,36percent
deposits,large share of funding for,euro area banks
deposits,declining amid,bonds
debt securities issued,issued by,euro areas other financial institutions OFI sector
yellow and blue bars,indicate,price effects
yellow and blue bars,indicate,quantity effects
income from loans,partly offset by,intermediation volumes
negative quantity effect,reflects,banks portfolio rebalancing
banks portfolio rebalancing,towards,loans
Asset Purchase Programme,is,APP
money holding sector,increase in,deposits
funding source for banks,increased relevance due to increase in,deposits
net interest incomes,supported by,interest expenses
lower or negative interest rates,leads to decline in,banks net interest margins
banks net interest margins,studied by,empirical studies
macroeconomic outlook,affects,intermediation volumes
macroeconomic outlook,affects,borrower creditworthiness
macroeconomic outlook,affects,loan loss provisions
macroeconomic outlook,affects,credit demand
impact of monetary policy,affects,economic activity
bank profitability components,can be decomposed into,NIRP
bank profitability components,can be decomposed into,counterfactual scenario
remunerating banks holdings of excess liquidity,shown as,separate component
remunerating banks holdings of excess liquidity,at the rate of,negative DFR
negative DFR,leads to,higher loan volumes
negative DFR,leads to,loan volumes to enterprises
negative DFR,leads to,compression of lending rates
chart,illustrates,positive impact of negative interest rates on non interest income
non interest income,related to,profitability
estimated impact of NIRP,impact on,bank profitability
balance between costs and benefits,evolve due to,interest rates
balance between costs and benefits,has a detrimental impact on,net interest margins
savings in provisions,is limited,funding costs
loan portfolio,concentrated on,low risk borrowers
remuneration of excess reserves,mitigates cost increase for,banks
income from fixed rate loans,decreases over time,fixed rate loans
broader low interest rate environment,pose,financial stability risks
Targeted macroprudential action,address,specific fragilities
overpricing,affect,financial assets
overpricing,occur due to,broader low interest rate environment
exuberance,affect,local housing markets
January 2020 BLS,highlight,net demand for housing loans
net demand for housing loans,continue increase at,historical average rate
overall rate of growth of housing loans,pose,financial stability risks
European Systemic Risk Board,related to,residential real estate sector
European Systemic Risk Board,issue warnings and recommendations on,vulnerabilities
ESRB,related to,residential real estate sector
ESRB,issue warnings and recommendations on,vulnerabilities
macroprudential authorities,activate measures in,real estate domain
maturity,related to,loans
maturity,used to estimate,risk neutral density
loan to value ratio,related to,loans
debt service to income ratio,related to,borrowers
borrowers,cannot reap benefit of falling real value of debt due to,terms of trade shock
easing effect,results from,bank funding costs
easing effect,gives rise to,specific frictions
easing effect,operates through,bank lending channel
easing effect,comes from,bank funding costs
first order effect,differs from,standard policy rate cut
first order effect,differs in,magnitude
liquid assets,comprises,bonds
liquid assets,comprises,deposits
liquid assets,comprises,listed equities
liquid assets,is focused on by other studies regarding,balance sheets
self reported impact of the policy,focuses on,balance sheets
self reported impact of the policy,is focused on by other studies regarding,balance sheets
Negative Interest Rate Policy NIRP,adoption year,2014
Negative Interest Rate Policy NIRP,without would result in lower loan growth,loan growth
hard bound on retail deposit rates,impact on loan growth would have been higher for,banks negatively affected by the policy
loan volumes to enterprises,reported by,10percent
loans to households for house purchases,share,15percent
compression of lending rates,for,enterprises
compression of lending rates,for,households for house purchases
compression of lending rates,in net terms,40percent
euro area inflation rate,expected to decline in,next year
euro area inflation rate,rose from,1 point 3percent
euro area inflation rate,decline due to,temporary factors
euro area inflation rate,rate in,May 2021
euro area inflation rate,rate was,2 point 0percent
euro area inflation rate,rate was,1 point 6percent
euro area inflation rate,time span,2019
overall cumulated impact on GDP growth,attributable to,NIRP
overall policy effect on inflation,explained by,NIRP
individual policy instrument,difficulty to identify due to,individual policy instrument
protracted periods,potential to hinder,transmission
current euro area monetary policy environment,requires monitoring,effects
microprudential supervision,provided,incentives
microprudential supervision,monitors,banks risk taking behaviour
intermediaries,to,risk attitude
risk attitude,to,macroeconomic circumstances
national macroprudential authorities,monitor and respond to,house price bubbles
supranational macroprudential authorities,allows benefit from,euro area economy
supranational macroprudential authorities,monitor and respond to,house price bubbles
mitigating action,allows benefit from,NIRP
ECBs policy response,response to,current challenges
ECBs policy response,response to,past challenges
Russias aggression,causes suffering in,Ukraine
trade disruptions,location,Europe
trade disruptions,creates,economy in Europe
trade disruptions,leading to shortages of,materials and inputs
surging energy and commodity prices,reduces,demand
surging energy and commodity prices,creates,economy in Europe
surging energy and commodity prices,holds back,production
business and consumer confidence,recovered in,recent months
business and consumer confidence,remains weaker due to,Russias unjustified war
development of the economy,depends on,conflict
development of the economy,depends on,current sanctions
development of the economy,depends on,further measures
sharp rise in energy costs,causes,inflation
new pandemic related measures,expected to lead to shortages of,materials
new pandemic related measures,expected to lead to shortages of,inputs
new pandemic related measures,anticipated to affect,global economic activity
geopolitical situation,causing shortages of,shortages of materials and inputs
geopolitical situation,acting as a drag on,trade
geopolitical situation,acts as drag on,trade
emerging market economies EMEs,consumption baskets include,commodities
consumption baskets,of,EMEs
rising energy prices,affects,cost of living
rising energy prices,leads to,reduction
rising commodity prices,affects,cost of living
rising commodity prices,affects,production costs
rising commodity prices,pushing up,consumer price inflation
new bottlenecks,contributes to,supply chain difficulties
pandemic measures,related to,Asia
pandemic measures,causes,supply chain difficulties
sourcing inputs,disrupts,production costs
ongoing recovery,should be supported by,households
ongoing recovery,should be supported by,compensatory fiscal measures
ongoing recovery,contributed by,households
ongoing recovery,contributed by,fiscal and monetary policy support
ongoing recovery,contributed by,factors
ongoing recovery,contributed by,savings
ongoing recovery,contributed by,compensatory fiscal measures
ongoing recovery,contributed by,sectors affected by the pandemic
ongoing recovery,contributed by,strong labour market
strong labour market,supports,euro area economy
strong labour market,supports,spending
strong labour market,provides,jobs
strong labour market,support,incomes
people in jobs,supports,spending
people in jobs,support,incomes
reopening of sectors,affected by,pandemic
reopening of sectors,continue to support,incomes
Fiscal policy,is critical in,geopolitical situation
Monetary policy,is critical in,geopolitical situation
price of fertilizers,related to,Ukraine
underlying inflation measures,risen to levels above,2percent
inflation indicators,response to,input cost shock
inflation indicators,rise is uncertain due to,higher energy prices
inflation indicators,rise is uncertain due to,temporary pandemic related factors
job postings,indicates demand for,labour
initial signs,requires,monitoring
initial signs,suggest,above target revisions
above target revisions,related to,inflation measures
above target revisions,In,measures of inflation expectations
above target moves in inflation expectations,risk factor of,medium term inflation outlook
anticipated wage rises,considered a risk to,medium term inflation outlook
supply side conditions,durable worsening of,medium term inflation outlook
current levels of bank lending rates,has state,low
low,for duration,extended period of time
lending flows to firms,has state,stabilized
lenders,concerned about,risks
lenders,concerned by,uncertain environment
lenders,reason for tighten,customers risks
customers risks,due to,uncertain environment
future expectations,related to,credit standards
Russias aggression towards Ukraine,impact on,banks
40 billion,in,April
calibration,related to,monthly net purchases
calibration,involves,parameters
calibration,for,group of households
calibration,reflects assessment of,Governing Council
calibration,will be decided on the basis of,data dependent
inflation rate 2percent,reach before,end of the projection horizon
future roll off,of,PEPP portfolio
future roll off,managed to avoid,interference
future roll off,will be managed to avoid,appropriate monetary policy stance
future roll off,to avoid interference with,appropriate monetary policy stance
future roll off,will be managed carefully to avoid interference with,monetary policy stance
future roll off,managed to avoid interference,appropriate monetary policy stance
interference,with,appropriate monetary policy stance
bonds issued by the Hellenic Republic,considered for purchase,rollover redemptions
bonds issued by the Hellenic Republic,why purchased,Greek economy
special conditions under TLTRO III,ends,June this year
banks intermediation capacity,in,environment of ample excess liquidity
Global economic activity,remained resilient at,start of 2022
pandemic related measures,related to,China
pandemic related measures,related to,resurgence of COVID 19 cases
pandemic related measures,associated with,Asia
pandemic related measures,is related to,Asia
pandemic related measures,location,Asia
pandemic related measures,expected to weigh on,global economy
pandemic related measures,planned by governments,firms
pandemic related measures,ease meeting of,debt obligations
shortages of materials and inputs,caused by,Recent global developments
underlying inflation progress,consistent with,2percent inflation stabilization
Russias invasion of Ukraine,has consequences for,industrial sector
moderate growth,timeframe,start of 2022
composite PMI,declined in,March
composite PMI,remained,expansionary
ongoing war in Ukraine,represented by,model
ongoing war in Ukraine,expected impacts are,economic impacts
sanctions on Russia,expected impacts are,economic impacts
economic impacts,includes,shortages of materials
economic impacts,includes,high energy and commodity prices
economic impacts,includes,dampening growth
economic impacts,consists of,higher commodity prices
economic impacts,consists of,falling confidence
higher commodity prices,intensified disruptions in,manufacturing sector
consumer confidence indices,for,key economies
consumer confidence indices,showing,falling confidence
Supply chain bottlenecks,eased by,Recent global developments
PMI suppliers delivery times,reflect,Omicron driven slowdown
PMI suppliers delivery times,improved in,China
PMI suppliers delivery times,performance location,United States
PMI suppliers delivery times,performance location,United Kingdom
PMI suppliers delivery times,performance time,March
PMI suppliers delivery times,improving in,United States
PMI suppliers delivery times,improving in,United Kingdom
PMI suppliers delivery times,marked lengthening in,China
PMI suppliers delivery times,current status in,United States
PMI suppliers delivery times,current status in,United Kingdom
PMI suppliers delivery times,not due to,supply factors
PMI suppliers delivery times,reason for lengthening in April,demand
Omicron driven slowdown,occurred when,turn of the year
Higher frequency data,suggest data type about,Supply chain bottlenecks
vessel movements,related to,Higher frequency data
shipping prices,related to,Higher frequency data
resurgence of COVID 19 cases,impact on,Supply chain bottlenecks
commercial ships,relative to,2021 average
commercial ships,decline in calling at,Russian ports
commercial ships,decline in calling at,Ukrainian ports
private firms,cut ties with,Russia
private firms,withdrew from,Russia
boycotts,weighing on,trade
amount of inflation attributed to food and energy,Equal to,one third
remaining inflation increase,Equal to,two thirds
two thirds,made use of,government policy support measures
two thirds,uncertain about,trust in the ECB
two thirds,utilized,government fiscal support measures
two thirds,From,core inflation
two thirds,quantifies respondents in,Other dont know
OECD inflation,Could be pushed by,commodity prices
Mexico,increase,policy rates
Mexico,added to breakdown of,emerging market economies
Governing Councils meeting,occurred in,March
strategic oil reserves,release period,six months
strategic oil reserves,amount released,1 million barrels
strategic oil reserves,contributed to controlling,energy commodity prices
International Energy Agency,expects,global oil demand
International Energy Agency,released,strategic oil reserves
International Energy Agency,additional release,330 thousand barrels
International Energy Agency,expects recovery in,global oil demand
supply shortfalls,related to,war
risks to supply,caused by,war
broad range of commodities,includes,gas
broad range of commodities,includes,oil
broad range of commodities,includes,aluminium
broad range of commodities,includes,fertilisers
broad range of commodities,includes,wheat
fertilisers,related to,war in Ukraine
dispute,involves,European Union
dispute,involves,G7 group
dispute,impact on,gas imports
gas payments,related to dispute,dispute
gas payments,settled in,roubles
gas imports,declined due to,demand for gas
pre invasion levels,before event,Russias invasion of Ukraine
household balance sheets,condition description,United States
Services prices,increase category,rents
Services prices,increase category,transportation services
policy stance,R Change,China
policy stance,changing,China
Widespread lockdowns,dampening,growth
Shanghai,contributes to,exports
Shenzhen,contributes to,exports
High frequency data,suggests,modest improvements in activity
High frequency data,suggests decline in,consumer confidence
High frequency data,suggests decline in,consumer expenditure
COVID 19 cases,peaked in,early February
private households,concerned about,income prospects
private households,concern due to,inflation
private households,concern due to,fiscal policy
private households,concern due to,interest rates
Monetary Policy Committee,meeting in,March
commodity importing EMEs,has,growth prospects
South Africa,increase,policy rates
South Africa,added to breakdown of,emerging market economies
Indonesia,constant rates,policy rates
Indonesia,added to breakdown of,emerging market economies
Fiscal,type of,policy support
energy and green transitions,will help to enhance,resilience
energy and green transitions,will help to enhance,long term growth
long term growth,will be enhanced in,euro area
pre pandemic peak,time reference,final quarter of 2019
annual growth,for,Euro area
annual growth,estimated at,1 point 9percent
decline in output,compared to,broad based rise
estimated GDP growth,for,Euro area
estimated GDP growth,time reference,2021
estimated GDP growth,estimated at,5 point 3percent
total value added,in,final quarter of 2021
total value added,on,production side
total value added,increase in,main sectors of the economy
total value added,part of,Euro area
total value added,change in,0 point 1percent
total value added,change in,1 point 1percent
total value added,sector,construction sector
Economic growth,contributing factors,energy costs
Economic growth,contributing factors,Omicron wave
Economic growth,contributing factors,Russias invasion of Ukraine
pandemic related measures in Asia,causing increase,supply chain bottlenecks
High energy costs,creating additional headwinds for,economic activity
High energy costs,creating additional headwinds for,private consumption
High energy costs,adversely affecting,households
companies operating in the non financial sector,confirms,short term economic outlook
workers covered by job retention schemes,accounted for,1 point 3percent of the labour force
workers covered by job retention schemes,percentage covered in,February 2022
workers covered by job retention schemes,percentage down from,December 2021
consumer sentiment,in,euro area
European Commissions latest Consumer Survey,indicates about,households expectations
households expectations,expectations regarding,economic and financial situation
households expectations,over the time frame of,next 12 months
heightened uncertainty,could lead to,excess savings
heightened uncertainty,could lead to action by households,precautionary savings
excess savings,concentrated in,wealthy households
excess savings,could lead to,private consumption
excess savings,built up during,pandemic
excess savings,geographic concentration,Atlantic
Next Generation EU initiative,aimed at supporting,digitalisation
Next Generation EU initiative,aimed at supporting,R
Next Generation EU initiative,aimed at supporting,infrastructure
Next Generation EU initiative,aimed at supporting,green economy transition
euro area housing investment,rebounded in,fourth quarter of 2021
euro area housing investment,experienced,contraction
euro area housing investment,deteriorated in,first quarter of 2020
euro area housing investment,expected contraction in,second quarter of 2020
PMI for residential construction output,advanced further into expansionary territory in,first quarter of 2022
European Commissions indicator,revealed increase in,construction activity trends
Demand related constraints,declined aiding recovery in,construction sector
Shortages of labour and materials,increased leading to,supply related constraints
supply related constraints,in,construction sector
invasion of Ukraine,contributed to,shipping costs
invasion of Ukraine,contributed to,numbers of goods blocked
invasion of Ukraine,added uncertainty to,housing investment outlook for the second quarter
PMI for the business expectations of construction firms,fell into contractionary territory in,March
large stocks of liquidity,along with,dynamism of house prices
large stocks of liquidity,could support demand in,construction sector
dynamism of house prices,could support demand in,construction sector
nominal extra euro area goods exports,rebounded in,January
nominal extra euro area goods exports,after decline in,December
goods trade balance,remained in deficit due to,energy imports
trade data,pointed to,supply chain bottlenecks
numbers of goods blocked,increased numbers in,global ports
pandemic related lockdowns,contributed to,shipping costs
pandemic related lockdowns,contributed to,numbers of goods blocked
improvement in Euro area trade,may have ended due to,shipping costs
improvement in Euro area trade,may have ended due to,numbers of goods blocked
forward looking indicators of manufacturing exports,fell into contractionary territory in,March
demand for manufacturing exports,dropped due to,sanctions
demand for manufacturing exports,dropped due to,invasion of Ukraine
PMI for export orders,for,service sector
indicators of travel bookings,ahead of,summer season
transport and production costs,partly due to,fertilisers
Eurostats flash estimate,reported increase in,HICP inflation
1 point 6 percentage points,in,first quarter of 2022
1 point 6 percentage points,since,February 2022
price increases in electricity,is partly reflected by,other energy commodities
personal transport fuel costs,contribute to,other energy commodities
elevated refining,contribute to,other energy commodities
distribution margins,contribute to,other energy commodities
energy supply disruptions,associated with,Russian invasion of Ukraine
surge in energy costs,contributed to,food inflation
surge in energy costs,contributed to,non energy industrial goods inflation
non energy industrial goods inflation rate,in month,March
non energy industrial goods inflation rate,is,non energy industrial goods inflation
Russia and Ukraine,important exporters of,exporters of grains and minerals
exporters of grains and minerals,used in production of,fertilisers
pressures on consumer energy prices,via,tax measures
future dynamics,key factor for,underlying inflation
latest available data,time period,fourth quarter of 2021
latest available data,refers to,wage growth
growth in compensation per hour,has growth rate,1 point 1percent
growth in compensation per hour,concerns,compensation per hour
growth in compensation per employee,has growth rate,3 point 5percent
growth in compensation per employee,concerns,compensation per employee
distortion,caused by,impact
initial signs of above target revisions,require monitoring due to,euro area inflation
The anticipation for inflation rate in 2025,anticipated rate,slightly above 2 point 5percent
actual inflation expectations,has value,estimated to be lower
actual inflation expectations,compared to,longer term inflation expectations
actual inflation expectations,closer to,ECBs symmetric 2percent inflation target
actual inflation expectations,implied by,inflation risk premia
ECBs Survey of Professional Forecasters,covered time,second quarter of 2022
ECBs Survey of Professional Forecasters,covered time,Between 1 and 4 April
the euro short term rate STR forward curve,changed during,review period
market implied date,related to,key ECB interest rates
market implied date,associated with,first 25 basis point increase
market implied date,refers to,September 2022
schedule,related to,net purchases
euro area risk asset markets,related to,war in Ukraine
euro area risk asset markets,faired over,review period
short to medium term maturity segments,segments of,STR forward curve
monetary policy expectations,driven by,inflationary pressures
monetary policy expectations,driven by,Governing Councils announcements
APP net purchases,announced schedule by,Governing Councils announcements
APP net purchases,conclude if,medium term inflation outlook
25 basis point policy rate increase,expected by market in,September 2022
geopolitical event,influenced,inflationary pressures
ten year US government bond yields,during,review period
ten year US government bond yields,resulted in,2 point 55percent
ten year US government bond yields,increased by,55 basis points
ten year UK government bond yields,resulted in,1 point 65percent
ten year UK government bond yields,rose by,13 basis points
spreads over the OIS rate,during,review period
spreads over the OIS rate,remained,stable
spreads over the OIS rate,status in,euro area
euro area ten year sovereign bond spread,changed by,3 basis points
euro area ten year sovereign bond spread,resulted in,0 point 13percent
Greek ten year sovereign yield spreads,decreased by,23 basis points
bond market,led to shift,bond issuers
repaying a loan,to,International Monetary Fund
repaying a loan,when,two years ahead of schedule
improvement in risk sentiment,contributed to,decline in corporate bond spreads
decline in corporate bond spreads,appears as,corporate bond spreads resilience
decline in corporate bond spreads,suggests slowdown in,economic recovery
Russian invasion,related to,decline in corporate bond spreads
Russian invasion,impact on,trade
current spreads,close to,pre pandemic averages
current spreads,slightly above,levels during 2021
corporate bond spreads resilience,in face of,monetary policy normalisation
long term earnings growth,expectation for,listed firms
Non financial corporation equity prices,compared to,the euro area
Non financial corporation equity prices,increased more in,the United States
share prices for US banks,state at time,end of March
share prices for US banks,decline by end of,review period
share prices for US banks,rebounded from,start of the war
lending conditions,tightened due to,economic uncertainty
lending conditions,continued to tighten in,May
lending conditions,continued to tighten in,April
lending conditions,reason for tightening,increased uncertainty
market based debt financing,increased cost has slower pace,latest data
